4.433066,25.14116,-8.790339,27.0
3.60827,18.562935,-6.511362,20.0
6.290699,29.595415,-10.41818,32.0
5.742775,24.874695,-8.790339,27.0
3.202383,12.844057,-4.557954,14.0
3.670774,13.699512,-4.883522,15.0
3.909304,13.633362,-4.883522,15.0
2.764429,9.042039,-3.255681,10.0
4.382719,13.488624,-4.883522,15.0
6.772276,19.66812,-7.162498,22.0
1.616932,4.442484,-1.627841,5.0
5.760341,15.0062,-5.534658,17.0
2.479383,6.136687,-2.278977,7.0
2.586105,6.092481,-2.278977,7.0
1.922885,4.318871,-1.627841,5.0
14.784956,31.706442,-12.04602,37.0
15.336059,31.44358,-12.04602,37.0
2.146282,4.212316,-1.627841,5.0
7.5462,14.192337,-5.534658,17.0
11.459912,20.67423,-8.139203,25.0
4.727593,8.188431,-3.255681,10.0
8.278627,13.77795,-5.534658,17.0
7.014679,11.225833,-4.557954,14.0
7.209529,11.1017,-4.557954,14.0
4.229818,6.270964,-2.604545,8.0
2.711636,3.872617,-1.627841,5.0
2.223048,3.059762,-1.302272,4.0
7.966382,10.571746,-4.557954,14.0
2.910597,3.725394,-1.627841,5.0
2.380137,2.939224,-1.302272,4.0
3.038838,3.621546,-1.627841,5.0
15.5079,17.839798,-8.139203,25.0
5.694079,6.323915,-2.930113,9.0
5.803579,6.223577,-2.930113,9.0
5.254499,5.441193,-2.604545,8.0
16.045982,16.045982,-7.813635,24.0
9.522088,9.195374,-4.557954,14.0
8.298102,7.738105,-3.906817,12.0
8.431887,7.592105,-3.906817,12.0
13.558247,11.786004,-6.185794,19.0
10.864639,9.116514,-4.883522,15.0
2.939224,2.380137,-1.302272,4.0
3.725394,2.910597,-1.627841,5.0
3.020499,2.276109,-1.302272,4.0
6.119525,4.446095,-2.604545,8.0
11.617852,8.134908,-4.883522,15.0
14.893539,10.045818,-6.185794,19.0
14.273615,9.269394,-5.860226,18.0
14.433214,9.018873,-5.860226,18.0
13.77795,8.278627,-5.534658,17.0
14.739176,8.509668,-5.860226,18.0
14.885446,8.251137,-5.860226,18.0
14.192337,7.5462,-5.534658,17.0
18.534191,9.443642,-7.162498,22.0
22.945314,11.191178,-8.790339,27.0
17.138617,7.991869,-6.511362,20.0
16.41171,7.306964,-6.185794,19.0
17.40709,7.388871,-6.511362,20.0
17.533392,7.08395,-6.511362,20.0
23.833376,9.148776,-8.790339,27.0
19.54693,7.114501,-7.162498,22.0
22.350136,7.695769,-8.139203,25.0
21.581799,7.012352,-7.813635,24.0
20.79669,6.358186,-7.488067,23.0
20.90449,5.994266,-7.488067,23.0
21.005919,5.628519,-7.488067,23.0
18.348654,4.574833,-6.511362,20.0
25.79598,5.955471,-9.115907,28.0
21.271706,4.521441,-7.488067,23.0
22.275522,4.329923,-7.813635,24.0
25.14116,4.433065,-8.790339,27.0
21.479187,3.401969,-7.488067,23.0
22.471605,3.158178,-7.813635,24.0
25.338713,3.111203,-8.790339,27.0
25.38915,2.668507,-8.790339,27.0
21.664173,1.89537,-7.488067,23.0
26.41003,1.846769,-9.115907,28.0
26.438238,1.385569,-9.115907,28.0
25.51345,0.890949,-8.790339,27.0
33.08811,0.577555,-11.394884,35.0
23.637964,0.0,-8.139203,25.0
22.68899,-0.396038,-7.813635,24.0
26.458393,-0.923947,-9.115907,28.0
30.21513,-1.583508,-10.41818,32.0
20.750738,-1.451033,-7.162498,22.0
26.373777,-2.307406,-9.115907,28.0
30.090845,-3.162675,-10.41818,32.0
30.031067,-3.687351,-10.41818,32.0
41.19794,-5.789993,-14.324997,44.0
32.68572,-5.176909,-11.394884,35.0
45.62655,-8.045191,-15.952837,49.0
57.545097,-11.185634,-20.185223,62.0
61.040546,-12.974569,-21.487495,66.0
67.25381,-15.526764,-23.766472,73.0
60.550556,-15.096949,-21.487495,66.0
57.537952,-15.417248,-20.510792,63.0
55.44234,-15.897835,-19.859655,61.0
63.294273,-19.351002,-22.789768,70.0
58.450706,-18.991785,-21.161926,65.0
58.11035,-20.008999,-21.161926,65.0
59.52929,-21.666887,-21.813063,67.0
59.142082,-22.702518,-21.813063,67.0
64.87355,-26.210615,-24.09204,74.0
58.313747,-24.752716,-21.813063,67.0
57.87287,-25.766665,-21.813063,67.0
58.271297,-27.172354,-22.138632,68.0
63.736984,-31.086605,-24.417608,75.0
58.129963,-29.618694,-22.4642,69.0
57.60419,-30.628693,-22.4642,69.0
57.887844,-32.087753,-22.789768,70.0
64.68861,-37.347984,-25.719881,79.0
56.732735,-34.088463,-22.789768,70.0
56.93101,-35.574444,-23.115335,71.0
56.30148,-36.56261,-23.115335,71.0
71.332214,-48.11418,-29.626698,91.0
53.44212,-37.420574,-22.4642,69.0
54.310783,-39.459095,-23.115335,71.0
53.613857,-40.400936,-23.115335,71.0
68.54725,-53.55498,-29.952267,92.0
52.171223,-42.247425,-23.115335,71.0
52.15027,-43.75927,-23.440905,72.0
53.519394,-46.5237,-24.417608,75.0
56.212578,-50.614037,-26.045448,80.0
52.55465,-49.008,-24.743176,76.0
52.371487,-50.574554,-25.068745,77.0
53.486607,-53.48661,-26.045448,80.0
52.544994,-54.41193,-26.045448,80.0
57.39095,-61.54426,-28.975561,89.0
51.879383,-57.617897,-26.696585,82.0
52.106544,-59.941723,-27.347721,84.0
51.660248,-61.566288,-27.673288,85.0
57.71831,-71.27618,-31.580107,97.0
52.390743,-67.05709,-29.30113,90.0
54.05759,-71.73685,-30.92897,95.0
53.908905,-74.199234,-31.580107,97.0
59.113663,-84.42306,-35.486923,109.0
60.27491,-89.36123,-37.114765,114.0
60.251064,-92.778496,-38.09147,117.0
59.123726,-94.61774,-38.417038,118.0
24.348904,-40.52338,-16.278406,50.0
22.219687,-38.485626,-15.301701,47.0
17.877462,-32.2518,-12.697156,39.0
16.867977,-31.724047,-12.371588,38.0
15.88249,-31.171139,-12.04602,37.0
19.48094,-39.941845,-15.301701,47.0
13.985769,-29.99258,-11.394884,35.0
13.460196,-30.232098,-11.394884,35.0
14.038857,-33.073467,-12.371588,38.0
17.709877,-43.833477,-16.278406,50.0
12.876056,-33.54327,-12.371588,38.0
10.995138,-30.208893,-11.069316,34.0
10.774076,-31.29019,-11.394884,35.0
14.024702,-43.163597,-15.627269,48.0
9.675503,-31.647137,-11.394884,35.0
8.600469,-29.993397,-10.743748,33.0
7.830984,-29.225626,-10.41818,32.0
9.149666,-36.697308,-13.022724,40.0
5.742775,-24.874695,-8.790339,27.0
4.52144,-21.271706,-7.488067,23.0
3.06703,-15.778495,-5.534658,17.0
2.955377,-16.760773,-5.860226,18.0
2.146941,-12.175902,-4.01722,13.0
2.540583,-13.070161,-4.326237,14.0
2.966036,-13.954105,-4.635254,15.0
3.637,-15.753577,-5.253288,17.0
1.61057,-6.459643,-2.163119,7.0
2.953819,-11.023801,-3.708203,12.0
3.407908,-11.884785,-4.01722,13.0
3.892869,-12.732998,-4.326237,14.0
5.290067,-16.281153,-5.562305,18.0
4.025238,-11.690141,-4.01722,13.0
4.553927,-12.511811,-4.326237,14.0
4.771595,-12.430429,-4.326237,14.0
5.344081,-13.227064,-4.635254,15.0
11.148224,-26.263563,-9.270508,30.0
7.349761,-16.507833,-5.871322,19.0
